Resource Name,URL
City of Goodyear – Current Development,https://www.goodyearaz.gov/development-center/current-development
City of Peoria – Development News & Meetings,https://www.peoriaaz.gov/development-summary
City of Phoenix – Permit Search (PDD),https://apps-secure.phoenix.gov/pdd/search/permits
City of Tempe – Project Status,https://www.tempe.gov/i-want-to/check-my-project-permit-status
City of Tucson – Permits & Planning,https://www.tucsonaz.gov/departments/permits
COBE Real Estate,https://www.coberealestate.com
Colliers – Phoenix CRE,https://www.colliers.com/en/united-states/arizona
Colliers – Phoenix CRE Brief,https://www.colliers.com/en/news
Commercial Properties Inc (CPIAZ),https://cpiaz.com
Commercial Real Estate Group of Tucson,https://www.commercial-real-estate-tucson.com
CommercialCafe (formerly 42Floors),https://www.commercialcafe.com
CommercialSearch (Phoenix),https://www.commercialsearch.com/phoenix
Connect CRE – Phoenix & Southwest,https://www.connectcre.com/stories/market/phoenix-southwest
Connect CRE – Phoenix & Southwest (Market Page),https://www.connectcre.com/phoenix-southwest/
CoStar – Phoenix Market,https://www.costar.com
Cresa – Phoenix,https://www.cresa.com/Locations/North-America/Arizona/Phoenix-AZ
Crexi – Arizona Commercial Real Estate,https://www.crexi.com/properties/az
Cushman & Wakefield – Arizona,https://www.cushmanwakefield.com/en/united-states/properties/arizona
Cushman & Wakefield – Phoenix,https://www.cushmanwakefield.com/en/united-states/offices/phoenix
Cushman & Wakefield/PICOR (Industrial Tucson),https://www.industrialtucson.com/blog
Davis Commercial AZ,https://daviscreaz.com
De Rito Partners – AZ CRE News,https://derito.com/news
Downtown Devil,https://downtowndevil.com
Downtown Phoenix Inc. (DTPHX Development Map),https://dtphx.org/business/development/
East Valley Tribune,https://www.eastvalleytribune.com
Evergreen Devco – Arizona,https://evgre.com/category/arizona/
FOX 10 Phoenix,https://www.fox10phoenix.com
Gilbert EDI (Office of Economic Development),https://www.gilbertedi.com
Gilbert Sun News,https://www.gilbertsunnews.com
GlobeSt – Phoenix Market,https://www.globest.com/markets/phoenix
Gorman & Company – Arizona,https://www.gormanusa.com/arizona-market/
Greater Phoenix Economic Council (GPEC),https://www.gpec.org/news/
Grow Buckeye,https://www.growbuckeye.com
Invest in Phoenix,https://www.investinphoenix.com
Invest the QC (Queen Creek),https://investtheqc.com
Investing in CRE – Arizona (ORION),https://investingincre.com
JLL – Arizona Properties,https://property.jll.com/office/Arizona
JLL – Phoenix,https://www.jll.com/en-us/locations/north-america/phoenix
KGUN 9 (Tucson),https://www.kgun9.com
Kidder Mathews – Phoenix,https://kidder.com/office-locations/phoenix/
Land.com (Arizona),https://www.land.com/arizona/all-land/
LANDFLIP (Arizona),https://www.landflip.com/land-for-sale/arizona
LandWatch (Arizona Commercial),https://www.landwatch.com/arizona-land-for-sale/commercial-property
Lee & Associates Arizona,https://lee-associates.com/arizona/
LevRose Commercial Real Estate,https://www.levrose.com
Long Realty – Commercial (Mesa),https://www.longrealty.com
LoopNet (Arizona Search),https://www.loopnet.com/search/commercial-real-estate/arizona/for-sale/
LoopNet – Arizona CRE Listings,https://www.loopnet.com/commercial-real-estate/usa/arizona
Marcus & Millichap,https://www.marcusmillichap.com
Maricopa County – Permit Center,https://www.maricopa.gov/5588/Maricopa-Countys-Permit-Center
Multi-Housing News – Phoenix,https://www.multihousingnews.com/cities/phoenix/
MyEListing (Phoenix),https://myelisting.com/phoenix-az/all-property-types/
NAI Horizon,https://www.naihorizon.com/inventory
NAIOP Arizona,https://www.naiopaz.org
Newmark,https://www.nmrk.com
Officelist (Phoenix),https://checkout.officelist.com/united-states/phoenix
Optima Inc.,https://www.optima.inc/news
Phoenix Bioscience Core,https://phoenixbiosciencecore.com
Phoenix Business Journal – CRE,https://www.bizjournals.com/phoenix/commercial-real-estate
Phoenix Investors – News,https://phoenixinvestors.com/news-insights/
Phoenix New Times,https://www.phoenixnewtimes.com
Plaza Companies – Knowledge Center,https://www.theplazaco.com/knowledge-center/
PropertyShark – Arizona CRE,https://www.propertyshark.com/cre/commercial-real-estate/us/az
PropertyShark – Arizona CRE (Alt URL),https://www.propertyshark.com/cre/commercial-real-estate/az/
R.O.I. Properties – Arizona CRE Search,https://roiproperties.com/service/commercial-properties
Real Estate Daily News (Tucson/AZ Focus),https://realestatedaily-news.com
Realmo (Arizona Industrial),https://realmo.com/industrial-properties/for-sale
Realty One Group Commercial (AZ MLS),https://rogcre.com/arizona-commercial-mls-search
RED Development – News Room,https://www.reddevelopment.com/news-room
REIN & GROSSOEHME Commercial RE,https://www.rgcre.com
Reonomy,https://www.reonomy.com
Rose Law Group Reporter,https://roselawgroupreporter.com
SanTanValley.com – What's Building,https://santanvalley.com/whats-building/
Scottsdale Progress,https://www.scottsdale.org/news
Select Camp Verde,https://selectcampverde.com
Showcase (Arizona),https://www.showcase.com/cre/arizona/
SimonCRE Blog,https://blog.simoncre.com
Snell & Wilmer – Publications (AZ Data Center),https://www.swlaw.com/publications/
The Arizona Republic / AZCentral (Phoenix Real Estate),https://www.azcentral.com/business/real-estate/
theBrokerList Blog (Phoenix),https://blog.thebrokerlist.com/tag/phoenix-commercial-real-estate-brokers/
The Broker Reserve (Mesa),https://www.thebrokerreserve.com/mesa-az/commercial-real-estate/
The Ravenscroft Group Blog,https://theravenscroftgroup.com/blog/
The Tucson Agents,https://thetucsonagents.com/blog/
Traded – Arizona,https://traded.co/state/arizona/
Transwestern – Phoenix,https://transwestern.com/location/phoenix
Tucson AZ Real Estate Blog,https://tucsonazrealestateblog.com
ULI Arizona,https://arizona.uli.org
VanTrust Real Estate,https://vantrustrealestate.com
Vestar (Development),https://www.vestar.com/development
WeSERV (West & SouthEast REALTORS) – Commercial,https://weserv.realtor/commercial/
ZoomProspector – Arizona Properties,https://properties.zoomprospector.com/arizona
,azcentral.com
